horizon,variable,q16,q50,q84
8,Ind_Value_Added_YoY,-0.014800778673131497,0.03659872707893996,0.10078120704061863
8,epu_qavg,-0.16374149889870815,-0.0770850298410769,-0.015402926153493679
8,gpr_qavg,-0.04069254045978529,0.009208063733356803,0.06824554894115312
9,msi_raw,-0.13833110454855727,-0.050389407320184106,0.002050784955236223
9,mu_cp,0.005956867394636783,0.049994716854026816,0.11429532369853115
9,CPI_QoQ_Ann,-0.060238151835883796,-0.007600036673482695,0.04277660341540987
9,Ind_Value_Added_YoY,-0.029442596719138264,0.020283283588642717,0.0846618788551991
9,epu_qavg,-0.15547934359107707,-0.07016908370191595,-0.011524664627998678
9,gpr_qavg,-0.036930632958443746,0.005857506894872621,0.06482797696012202
10,msi_raw,-0.12424897947796057,-0.04576753641545216,0.0007243542143910367
10,mu_cp,0.0018739597266440862,0.04197521359719285,0.10513886139227602
10,CPI_QoQ_Ann,-0.07246257701549957,-0.022896503498244354,0.014808632716438291
10,Ind_Value_Added_YoY,-0.016211325804681775,0.024403066873527515,0.08618761195155708
10,epu_qavg,-0.15240243167628187,-0.06513814700734709,-0.011270285434432155
10,gpr_qavg,-0.043008993423047995,0.001405055700148847,0.04694691892429345
11,msi_raw,-0.1198378834000995,-0.04375605262845232,-0.0022865887926352742
11,mu_cp,9.141910102491248e-5,0.03717067508714839,0.10006419051439283
11,CPI_QoQ_Ann,-0.05561242853081798,-0.01387093950458766,0.01908029193744313
11,Ind_Value_Added_YoY,-0.02151712056274502,0.020990675883601182,0.07458800527509124
11,epu_qavg,-0.1432089556200007,-0.05313850182188654,-0.006584560177179793
11,gpr_qavg,-0.03831054275118763,0.00044303732012766604,0.04448746971452036
12,msi_raw,-0.11539065406159202,-0.03548059214152936,0.005444878880956707
12,mu_cp,-0.002926147244706408,0.03149935008237346,0.09651521943131311
12,CPI_QoQ_Ann,-0.06149258096978169,-0.01843587870607487,0.010588362185121726
12,Ind_Value_Added_YoY,-0.004711650075636141,0.026893840325542186,0.08062808014860492
12,epu_qavg,-0.1378332663481392,-0.04902950894746265,-0.00375263087296727
12,gpr_qavg,-0.032471038692742954,0.001193881623866802,0.03820997825568906
