date,epu
2014-09-01,107.9098285
2014-10-01,99.81389864
2014-11-01,120.1338512
2014-12-01,58.89923617
2015-01-01,98.03493372
2015-02-01,95.11193973
2015-03-01,116.265651
2015-04-01,63.93907057
2015-05-01,68.25076576
2015-06-01,95.53624936
2015-07-01,133.6395202
2015-08-01,60.20590772
2015-09-01,96.43061547
2015-10-01,87.33976499
2015-11-01,96.07801009
2015-12-01,94.53806507
2016-01-01,127.4782714
2016-02-01,108.0552358
2016-03-01,155.2279389
2016-04-01,165.2380053
2016-05-01,117.5464314
2016-06-01,131.4570154
2016-07-01,112.3994755
2016-08-01,116.325771
2016-09-01,147.5645526
2016-10-01,106.809263
2016-11-01,133.0970927
2016-12-01,130.5673617
2017-01-01,306.037496
2017-02-01,176.3995805
2017-03-01,349.0531329
2017-04-01,174.1927712
2017-05-01,130.7553519
2017-06-01,227.6597283
2017-07-01,228.2414925
2017-08-01,164.6848328
2017-09-01,206.3844492
2017-10-01,142.533602
2017-11-01,206.0377588
2017-12-01,167.6842327
2018-01-01,265.0796087
2018-02-01,149.602152
2018-03-01,254.1363255
2018-04-01,241.739357
2018-05-01,210.7990925
2018-06-01,203.0892821
2018-07-01,395.6720601
2018-08-01,269.4765344
2018-09-01,314.0877032
2018-10-01,343.3703494
2018-11-01,438.2358972
2018-12-01,248.4691029
2019-01-01,288.099468498562
2019-02-01,239.986444362618
2019-03-01,411.150064266454
2019-04-01,319.414764482013
2019-05-01,365.101499996138
2019-06-01,649.072535816154
2019-07-01,375.902337503833
2019-08-01,395.985799059666
2019-09-01,347.394796595017
2019-10-01,234.095232475743
2019-11-01,396.179000284422
2019-12-01,337.921465033862
2020-01-01,250.321903500956
2020-02-01,195.706169373674
2020-03-01,219.402508980348
2020-04-01,328.805400300115
2020-05-01,501.33444442373
2020-06-01,421.641110933879
2020-07-01,324.662566170534
2020-08-01,451.631087851069
2020-09-01,493.402039705619
2020-10-01,396.79674987595
2020-11-01,661.82804828749
2020-12-01,439.123635430217
2021-01-01,378.35705309334
2021-02-01,237.408613576867
2021-03-01,302.30058172503
2021-04-01,289.630033571675
2021-05-01,216.860559066636
2021-06-01,219.762804790051
2021-07-01,227.924511338185
2021-08-01,294.827804953211
2021-09-01,274.950023143039
2021-10-01,248.473635337268
2021-11-01,329.069390994896
2021-12-01,344.003352178407
2022-01-01,319.071530807706
2022-02-01,167.081875584505
2022-03-01,359.005178984309
2022-04-01,337.153789726457
2022-05-01,386.750242902272
2022-06-01,328.094950109791
2022-07-01,359.977442421623
2022-08-01,260.880966957428
2022-09-01,242.556936393941
2022-10-01,259.049214802676
2022-11-01,448.588845798041
2022-12-01,310.496979941266
2023-01-01,275.41359579382
2023-02-01,364.287677422576
2023-03-01,516.976889834461
2023-04-01,392.605046550195
2023-05-01,233.991581001473
2023-06-01,290.407627065338
2023-07-01,233.748247068568
2023-08-01,227.150058523315
2023-09-01,249.484819266559
2023-10-01,160.979522290178
2023-11-01,229.345970653544
2023-12-01,312.794116000289
2024-01-01,356.97471648219
2024-02-01,170.818001770421
2024-03-01,242.846612100357
2024-04-01,166.740435130865
2024-05-01,206.280442270518
2024-06-01,124.295466936886
2024-07-01,278.561630309805
2024-08-01,207.982325897929
2024-09-01,223.656415028356
2024-10-01,228.078182581377
2024-11-01,233.826349569436
2024-12-01,364.407874729867
2025-01-01,256.9
2025-02-01,241.6
2025-03-01,426.836801735043
2025-04-01,524.835928224473
2025-05-01,494.110627612975
2025-06-01,342.74215775988
2025-07-01,345.484294091692
2025-08-01,301.270330304645
2025-09-01,221.757773058414
2025-10-01,522.430955690378
2025-11-01,454.235919403133
