report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,quarter,price_sentiment_index,price_expectation_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share
2016年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543773802/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543773802/2016062414421222688.pdf,data\raw\pboc_depositor_survey\pdfs\2016年第二季度城镇储户问卷调查报告.pdf,6aeb4d4e14e559e392525b61b0fcd528bfc908b49311c628e79ba4b10b66f354,2016Q2,25,60.6,45.3,48.8,37,45,53.4,51.6,8.6,14.7
2016年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543919721/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543919721/2016091809234160729.pdf,data\raw\pboc_depositor_survey\pdfs\2016年第三季度城镇储户问卷调查报告.pdf,d7e45a0a7c2938fb55cfa82a390d4eb842bbfe22b8dcbde19e7b78e174d2fafb,2016Q3,26.7,62.6,46.1,49.8,37.1,46.2,26.7,50,7.1,11.4
2016年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544286565/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544286565/2016122914284392008.pdf,data\raw\pboc_depositor_survey\pdfs\2016年第四季度城镇储户问卷调查报告.pdf,a0283d145cdd2ba28923f3cf81f06d408f3a3de73e07069b232afaf4d50e0a33,2016Q4,29.2,67.6,51.9,54.9,40.1,49.4,44.4,46.2,5.9,13
2017年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544670376/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544670376/2017091514494629299.pdf,data\raw\pboc_depositor_survey\pdfs\2017年第三季度城镇储户问卷调查报告.pdf,3347c9c43b4a77610527e0e902603bbeb2aa9c5f8d2e65d92a5cf81b71b0a6b1,2017Q1,,61.5,52.6,52.9,41.8,51.1,52.8,86.6,53.3,11.5
2017年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544863152/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212544863152/2017121915144740386.pdf,data\raw\pboc_depositor_survey\pdfs\2017年第四季度城镇储户问卷调查报告.pdf,3e685f75e957f6be2d5b3cb25ddba31ad7ecb27ba54d22025607ab912c6e695b,2017Q2,,61.3,51.3,52.9,41.9,50.7,53.6,88.9,54.9,9.6
2018年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545078219/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545078219/2018031510381536624.pdf,data\raw\pboc_depositor_survey\pdfs\2018年第一季度城镇储户问卷调查报告.pdf,0ccfaa2587afc38762fe048411e1793701c1e5a92c3196e0193c285917dee249,2017Q3,,61.2,52.8,53.3,42.6,50.8,55.4,89.2,54.2,26.4
2018年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545269474/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545269474/2018061516195265615.pdf,data\raw\pboc_depositor_survey\pdfs\2018年第二季度城镇储户问卷调查报告.pdf,0e74418101556dc0bbd1e5c199a883719986678638a164c428b4ec34075457b6,2017Q4,,64.3,53.6,54.9,44.9,53.4,53.2,27.7,8.1,10.5
2018年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545331442/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545331442/2018091415131475925.pdf,data\raw\pboc_depositor_survey\pdfs\2018年第三季度城镇储户问卷调查报告.pdf,116e2d7560b2ab72ce1ca15aaaff593226ef7a922497050a9d38f2f5577638f0,2018Q1,,59.6,55.4,54.2,45.8,54.1,53.6,31.8,7.2,10.3
2018年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545599184/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545599184/2018122414244782739.pdf,data\raw\pboc_depositor_survey\pdfs\2018年第四季度城镇储户问卷调查报告.pdf,aac3fd20854c8372596e52086b31f72f61536e8a1e52556d3df5368d095fc7dc,2018Q2,,61,53.2,53.5,45,52.3,53.5,54.4,7,10
2019年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545785161/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545785161/2019032214441685366.pdf,data\raw\pboc_depositor_survey\pdfs\2019年第一季度城镇储户问卷调查报告.pdf,eb84afe40b56680806e45681b4559e58b21a98525d932c07b00bd11e1cee4402,2018Q3,,63.7,53.6,52.7,44.2,51.6,54.8,89.7,54,10.5
2019年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545951844/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212545951844/2019062014520535917.pdf,data\raw\pboc_depositor_survey\pdfs\2019年第二季度城镇储户问卷调查报告.pdf,47bf163f163271c30f284413c117eccc51b3463223b87ca259713a1436832a22,2018Q4,,64.3,53.5,54.4,45.5,53.3,53,29.2,7.6,10.4
