quarter,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct
2009Q1,100.2,48.9,6.433333333333334,21.599999999999998,95.39666666666666,94.8,100.2,0.20000000000000284,117.65199228343239,-0.6136537880023885,95.39666666666666,-4.603333333333329,1687.9557274263534,79.49538712902833,2.4106914035239235,-1.2022124568236259,75341.3,6.701213432734354
2009Q2,99.66666666666667,53.26666666666667,8.966666666666667,26.733333333333334,92.79333333333334,95.75,99.66666666666667,-0.3333333333333333,116.4791160427991,-1.5311763865158978,92.79333333333334,-7.2066666666666634,1348.6293526503719,16.807328425032445,-3.928378371943775,-1.6958069945675391,85355.6,6.741199274682685
2009Q3,100.3,53.86666666666667,12.333333333333334,28.733333333333334,92.31,99.72333333333334,100.3,0.3000000000000019,117.52975766950513,-1.2690680659920333,92.31,-7.689999999999998,1060.7633676781359,-30.144411928994213,3.657110450274592,-0.8090039826625373,91330.0,9.157231591893211
2009Q4,100.39999999999999,55.666666666666664,17.933333333333334,28.933333333333334,97.92333333333333,102.82333333333334,100.39999999999999,0.40000000000000097,118.94210924152684,0.5274865380149615,97.92333333333333,-2.076666666666663,994.5604741683304,-49.12037317646616,4.894128762707939,1.700403144703766,102494.7,13.788176519567031
2010Q1,100.36666666666667,54.300000000000004,10.3,24.666666666666668,105.20666666666666,105.68,100.36666666666667,0.36666666666666475,120.24398962246154,2.071976113092363,105.20666666666666,5.2066666666666634,1158.0708937066001,-38.430458848660834,4.450606690076198,2.203105352253476,89125.0,18.295012164642756
2010Q2,99.83333333333333,53.9,16.0,20.333333333333332,106.78333333333335,105.26333333333332,99.83333333333333,-0.16666666666666194,119.64180916536016,2.71552062031369,106.78333333333335,6.783333333333331,1410.0697947106173,-8.804051807422697,-1.9881974108377332,2.7152447837936577,101075.0,18.416366354404378
2010Q3,100.53333333333335,52.23333333333333,13.533333333333333,18.599999999999998,104.49666666666667,104.11666666666667,100.53333333333335,0.5333333333333314,121.56614525239632,3.263059422640565,104.49666666666667,4.496666666666665,1608.9568891903198,35.44485145055837,6.590548490695669,3.4343537015038894,107792.9,18.025730866090008
2010Q4,100.76666666666667,54.6,13.299999999999999,19.5,105.67666666666668,102.85333333333334,100.76666666666667,0.7666666666666657,124.38251494242452,4.643638247811399,105.67666666666668,5.676666666666672,1898.758433371402,81.14280156915754,9.59399327547179,4.573994639568957,121260.4,18.308946706512618
2011Q1,100.66666666666667,52.833333333333336,9.9,16.51,107.06126666666667,102.94,100.66666666666667,0.6666666666666666,126.87958846060504,5.166012319676587,107.06126666666667,7.061266666666668,2330.031687492355,98.31464368993636,8.275378430283297,5.518445336833677,106218.9,19.179691444600277
2011Q2,100.16666666666667,51.93333333333334,13.933333333333332,15.433333333333332,106.90899999999999,102.71333333333332,100.16666666666667,0.16666666666666194,127.514874940666,5.872614284580931,106.90899999999999,6.909000000000002,2847.104043358905,101.23490018219167,2.0178935206603077,6.580530527103834,120776.8,19.492258224091017
2011Q3,100.43333333333334,50.93333333333334,13.766666666666666,13.766666666666666,107.10566666666666,101.00999999999999,100.43333333333334,0.4333333333333324,129.17959119663197,6.439340955578669,107.10566666666666,7.105666666666669,3498.0839712714337,112.48883759709115,5.3251839113571675,6.2628011511170145,128561.5,19.26713169420251
2011Q4,100.06666666666666,49.9,12.799999999999999,13.066666666666668,103.1357,99.67666666666666,100.06666666666666,0.06666666666666288,129.4373037059917,4.654991365967565,103.1357,3.1357,3836.542202745577,109.96104477639163,0.8003887782513264,4.06390622179249,140150.3,15.577962797417788
2012Q1,100.53333333333335,51.53333333333333,11.066666666666668,12.933333333333332,100.14866666666667,97.405,100.53333333333335,0.5333333333333362,131.5099793671166,3.821392758489347,100.14866666666667,0.14866666666667072,3853.5683244466127,78.09504131688266,6.560686087423062,3.649437204747308,119377.5,12.388190802201882
2012Q2,99.66666666666667,51.300000000000004,9.466666666666667,13.213333333333333,98.60640000000001,95.07666666666667,99.66666666666667,-0.3333333333333286,130.19842797570874,2.8586122575981143,98.60640000000001,-1.3936000000000017,3694.5106795976785,41.82395067469379,-3.9299263288206654,2.1045019542162535,133491.2,10.527187340615086
