date,Food_CPI_MoM_index,Food_CPI_level,Food_CPI_YoY
2010-11-01,102.0,147.15728275084038,11.971256064571456
2010-12-01,100.9,148.48169829559794,9.794943993345528
2011-01-01,102.8,152.63918584787467,10.873479788957962
2011-02-01,103.7,158.28683572424603,11.302805944965556
2011-03-01,99.0,156.70396736700357,11.86779480763036
2011-04-01,99.6,156.07715149753554,11.53185548388369
2011-05-01,99.7,155.60892004304293,11.75604011802216
2011-06-01,100.9,157.00940032343033,14.595370405573526
2011-07-01,101.2,158.89351312731148,14.936090040079675
2011-08-01,100.6,159.84687420607534,13.35853586305895
2011-09-01,101.1,161.60518982234214,13.246521499557895
2011-10-01,99.8,161.28197944269746,11.790334774044297
2011-11-01,99.2,159.99172360715588,8.721580486129366
2011-12-01,101.2,161.91162429044175,9.044835928605476
2012-01-01,104.2,168.7119125106403,10.529882332302432
2012-02-01,99.7,168.20577677310837,6.266434604923354
2012-03-01,100.2,168.54218832665458,7.554512600134555
2012-04-01,99.1,167.0253086317147,7.014580307965201
2012-05-01,99.2,165.68910616266098,6.477897357574203
2012-06-01,98.4,163.0380804640584,3.839693756048579
2012-07-01,99.9,162.87504238359435,2.505784646534126
2012-08-01,101.5,165.31816801934826,3.422834409773512
2012-09-01,100.2,165.64880435538697,2.5021563586479445
2012-10-01,99.2,164.32361392054386,1.885910929638035
2012-11-01,100.4,164.98090837622604,3.118401787657854
2012-12-01,102.4,168.94045017725546,4.341149634942321
2013-01-01,102.8,173.67078278221862,2.9392531907108665
2013-02-01,102.7,178.35989391733852,6.036723196449412
2013-03-01,97.1,173.1874569937357,2.7561459318885984
2013-04-01,100.4,173.88020682171063,4.1041074829628155
2013-05-01,98.4,171.0981235125633,3.264558229067971
2013-06-01,100.0,171.0981235125633,4.9436567368577045
2013-07-01,100.0,171.0981235125633,5.048705442299983
2013-08-01,101.2,173.15130099471406,4.738216657741479
2013-09-01,101.5,175.74857050963476,6.097095716175227
2013-10-01,99.6,175.0455762275962,6.524906585998513
2013-11-01,99.8,174.69548507514102,5.888303558592156
2013-12-01,100.6,175.74365798559185,4.026985722601273
2014-01-01,102.4,179.9615057772461,3.6222114590892085
2014-02-01,101.7,183.0208513754593,2.613231795417481
2014-03-01,98.4,180.09251775345197,3.9870443735229744
2014-04-01,98.7,177.75131502265708,2.2263075664015863
2014-05-01,100.2,178.1068176527024,4.096300997494273
2014-06-01,99.6,177.3943903820916,3.6799157935042848
2014-07-01,99.9,177.21699599170952,3.5762358777108094
2014-08-01,100.7,178.45751496365153,3.0644955818723396
2014-09-01,100.8,179.88517508336074,2.3537059571697716
2014-10-01,99.8,179.525404733194,2.5592354872042478
2014-11-01,99.6,178.80730311426123,2.3537059571697716
2014-12-01,101.2,180.95299075163237,2.9641654360395675
2015-01-01,100.7,182.2196616868938,1.254799408292806
2015-02-01,102.9,187.50403187581375,2.449546303965877
2015-03-01,98.4,184.50396736580075,2.449546303965877
2015-04-01,99.1,182.84343165950852,2.8647420336678664
2015-05-01,99.1,181.19784077457294,1.7354883786076414
2015-06-01,99.9,181.0166429337984,2.041920572519129
2015-07-01,100.7,182.28375943433502,2.8590730896163707
2015-08-01,101.6,185.20029958528437,3.7783696713507453
2015-09-01,99.9,185.0150992856991,2.8517770849994184
2015-10-01,99.0,183.1649482928421,2.027313942033504
2015-11-01,100.0,183.1649482928421,2.4370621907966683
2015-12-01,101.5,185.91242251723472,2.740729371204176
2016-01-01,102.0,189.63067096757942,4.067074437565288
2016-02-01,106.7,202.3359259224072,7.91017339638691
2016-03-01,98.2,198.6938792558039,7.690843775662537
2016-04-01,98.6,195.91216494622265,7.147499457924611
2016-05-01,97.3,190.6225364926746,5.201328932957261
2016-06-01,98.6,187.95382098177717,3.832342670566402
2016-07-01,99.8,187.57791333981362,2.9043475523587325
2016-08-01,100.4,188.32822499317288,1.6889418726064864
2016-09-01,101.7,191.52980481805685,3.521175059500292
2016-10-01,99.0,189.61450676987624,3.521175059500292
2016-11-01,100.2,189.993735783416,3.7282174096192833
2016-12-01,100.4,190.75371072654968,2.604069240648066
2017-01-01,102.3,195.1410460732603,2.90584591488523
2017-02-01,99.4,193.97019979682076,-4.134572784071255
2017-03-01,98.1,190.28476600068117,-4.232195418710704
2017-04-01,99.4,189.1430574046771,-3.4551746918848214
2017-05-01,99.3,187.81905600284438,-1.470697296034551
2017-06-01,99.0,185.94086544281592,-1.0709841004809428
2017-07-01,99.9,185.75492457737312,-0.9718568300405406
2017-08-01,101.2,187.9839836723016,-0.1827879601603799
2017-09-01,100.5,188.9239035906631,-1.3605721730198694
2017-10-01,100.0,188.9239035906631,-0.3642143161816769
2017-11-01,99.5,187.97928407270976,-1.0602726992023803
2017-12-01,101.1,190.04705619750953,-0.3704538833601778
2018-01-01,102.2,194.22809143385476,-0.4678434690069233
2018-02-01,104.4,202.7741274569444,4.538804243819694
2018-03-01,95.8,194.2576141037527,2.0878434919258337
2018-04-01,98.1,190.5667194357814,0.7526906092346408
2018-05-01,98.7,188.08935208311627,0.14391302247189763
2018-06-01,99.2,186.58463726645132,0.34622395787082816
2018-07-01,100.1,186.7712219037178,0.5471172991278417
2018-08-01,102.4,191.253731229407,1.7393756070226196
2018-09-01,102.4,195.84382077891277,3.6628065886479266
2018-10-01,99.7,195.25628931657604,3.3518181688819926
2018-11-01,98.8,192.91321384477712,2.6247199506084673
2018-12-01,101.1,195.03525919706965,2.6247199506084673
2019-01-01,101.6,198.15582334422277,2.0222264871019524
2019-02-01,103.2,204.4968096912379,0.8495572171352439
2019-03-01,99.1,202.65633840401676,4.323498123362257
2019-04-01,99.9,202.45368206561278,6.237690749479019
2019-05-01,100.2,202.85858942974403,7.852245320139795
2019-06-01,99.7,202.25001366145477,8.395855427600175
2019-07-01,100.9,204.0702637844079,9.262155970478103
2019-08-01,103.2,210.60051222550894,10.115766563997465
2019-09-01,103.5,217.97153015340172,11.298650775134146
2019-10-01,103.6,225.8185052389242,15.652359280881623
2019-11-01,101.8,229.88323833322482,19.16407059507843
