provcd,province_name,region,date,commodity,cpi_index
11,Beijing,North,2023-02-01,eggs,95.9
11,Beijing,North,2023-01-01,eggs,97.9
11,Beijing,North,2022-12-01,eggs,99.3
11,Beijing,North,2022-11-01,eggs,101.9
11,Beijing,North,2022-10-01,eggs,101.6
11,Beijing,North,2022-09-01,eggs,103.4
11,Beijing,North,2022-08-01,eggs,102.5
11,Beijing,North,2022-07-01,eggs,98
11,Beijing,North,2022-06-01,eggs,98.3
11,Beijing,North,2022-05-01,eggs,101.9
11,Beijing,North,2022-04-01,eggs,103.2
11,Beijing,North,2022-03-01,eggs,100.8
11,Beijing,North,2022-02-01,eggs,97.7
11,Beijing,North,2022-01-01,eggs,99.3
11,Beijing,North,2021-12-01,eggs,98.9
11,Beijing,North,2021-11-01,eggs,103.4
11,Beijing,North,2021-10-01,eggs,99.4
11,Beijing,North,2021-09-01,eggs,100
11,Beijing,North,2021-08-01,eggs,104.1
11,Beijing,North,2021-07-01,eggs,100.6
11,Beijing,North,2021-06-01,eggs,99.6
11,Beijing,North,2021-05-01,eggs,100.6
11,Beijing,North,2021-04-01,eggs,102.4
11,Beijing,North,2021-03-01,eggs,96.5
11,Beijing,North,2021-02-01,eggs,97.7
11,Beijing,North,2021-01-01,eggs,107
11,Beijing,North,2020-12-01,eggs,100.9
11,Beijing,North,2020-11-01,eggs,99.6
11,Beijing,North,2020-10-01,eggs,97.3
11,Beijing,North,2020-09-01,eggs,101.6
11,Beijing,North,2020-08-01,eggs,107.3
11,Beijing,North,2020-07-01,eggs,103.1
11,Beijing,North,2020-06-01,eggs,97.3
11,Beijing,North,2020-05-01,eggs,96.2
11,Beijing,North,2020-04-01,eggs,98.1
11,Beijing,North,2020-03-01,eggs,96.2
11,Beijing,North,2020-02-01,eggs,95.4
11,Beijing,North,2020-01-01,eggs,96.3
11,Beijing,North,2019-12-01,eggs,93.4
11,Beijing,North,2019-11-01,eggs,101
11,Beijing,North,2019-10-01,eggs,98.3
11,Beijing,North,2019-09-01,eggs,105.9
11,Beijing,North,2019-08-01,eggs,104.9
11,Beijing,North,2019-07-01,eggs,104.1
11,Beijing,North,2019-06-01,eggs,97.3
11,Beijing,North,2019-05-01,eggs,104.8
11,Beijing,North,2019-04-01,eggs,104
11,Beijing,North,2019-03-01,eggs,95.3
11,Beijing,North,2019-02-01,eggs,95.4
11,Beijing,North,2019-01-01,eggs,100.1
11,Beijing,North,2018-12-01,eggs,98.5
11,Beijing,North,2018-11-01,eggs,99.9
11,Beijing,North,2018-10-01,eggs,96.1
11,Beijing,North,2018-09-01,eggs,103.5
11,Beijing,North,2018-08-01,eggs,111.4
11,Beijing,North,2018-07-01,eggs,100
11,Beijing,North,2018-06-01,eggs,98.6
11,Beijing,North,2018-05-01,eggs,101.6
11,Beijing,North,2018-04-01,eggs,97.5
11,Beijing,North,2018-03-01,eggs,91.8
11,Beijing,North,2018-02-01,eggs,102.3
11,Beijing,North,2018-01-01,eggs,101.4
11,Beijing,North,2017-12-01,eggs,105.1
11,Beijing,North,2017-11-01,eggs,100.9
11,Beijing,North,2017-10-01,eggs,95.9
11,Beijing,North,2017-09-01,eggs,108
11,Beijing,North,2017-08-01,eggs,112.8
11,Beijing,North,2017-07-01,eggs,104.2
11,Beijing,North,2017-06-01,eggs,104.2
11,Beijing,North,2017-05-01,eggs,97.1
11,Beijing,North,2017-04-01,eggs,101.1
11,Beijing,North,2017-03-01,eggs,94.8
11,Beijing,North,2017-02-01,eggs,93.4
11,Beijing,North,2017-01-01,eggs,97.8
11,Beijing,North,2016-12-01,eggs,98.9
11,Beijing,North,2016-11-01,eggs,99.6
11,Beijing,North,2016-10-01,eggs,94.8
11,Beijing,North,2016-09-01,eggs,106.4
11,Beijing,North,2016-08-01,eggs,102.3
11,Beijing,North,2016-07-01,eggs,99.2
11,Beijing,North,2016-06-01,eggs,98.1
11,Beijing,North,2016-05-01,eggs,100.4
11,Beijing,North,2016-04-01,eggs,100.5
11,Beijing,North,2016-03-01,eggs,91.9
