report_title,quarter,price_sentiment_index,infl_exp_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share,infl_exp_index_alt,epu_qavg,gpr_qavg,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY.1,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct,Food_CPI_YoY_qavg,mu_cp,sigma_cp,effective_sample_share,delta_used,CPI_lead1,FE,FR
2013年第4季度城镇储户问卷调查报告,2013Q4,20.5,72.2,50.3,54.1,38.8,49.7,61.6,41.5,13.4,12.8,72.2,132.62215236666665,73.70154317220052,100.1,51.26666666666667,10.0,14.033333333333331,98.571,96.82333333333332,100.1,0.099999999999999,135.8814865595284,2.918296134256804,98.571,-1.4289999999999974,2472.2676590740043,-21.16782868548944,1.2050059870639895,2.5088732410637693,170694.7,10.65533067977027,5.4800652890639805,1.0817439626381928,1.2556016021573186,0.872,0.3,4.049995350119828,2.9682513874816356,-0.08422611646910272
2014年第1季度城镇储户问卷调查报告,2014Q1,23.6,63.9,50.7,53.0,40.6,49.9,55.8,48.5,14.0,13.3,63.9,91.36728098,88.91934967041016,100.33333333333331,50.333333333333336,2.9333333333333336,12.866666666666667,98.02663333333334,96.655,100.33333333333331,0.3333333333333333,137.23687041758802,2.240400324693237,98.02663333333334,-1.973366666666664,2328.745975757064,-20.93202241324899,4.049995350119828,2.311815757477764,143539.4,8.841163575591992,3.407495876009888,0.989373606288199,0.9672523448219141,0.867,0.3,-4.322116185856462,-5.311489792144661,-0.0923703563499938
2014年第2季度城镇储户问卷调查报告,2014Q2,23.2,63.8,48.3,51.6,38.6,47.8,56.5,50.1,7.1,13.4,63.8,104.26113379333331,91.8058344523112,99.63333333333333,50.73333333333333,8.9,13.766666666666666,98.48006666666669,95.21666666666664,99.63333333333333,-0.3666666666666695,135.72932710144633,1.9716634613604995,98.48006666666669,-1.5199333333333318,2224.118708671455,-19.538147575347164,-4.322116185856462,1.5955244679663805,159462.4,9.13568113642851,3.334174785800048,0.16846819504114185,0.6000242117029481,0.866,0.3,3.2455739918464177,3.077105796805276,-0.8209054112470572
2014年第3季度城镇储户问卷调查报告,2014Q3,25.1,64.1,49.2,52.5,39.22,488.2,25.1,54.0,6.7,11.7,64.1,93.36993777666667,135.58539835611978,100.26666666666668,51.3,7.966666666666666,13.066666666666668,98.70926666666666,94.77666666666666,100.26666666666668,0.2666666666666657,136.81747047411187,1.2928559723054844,98.70926666666666,-1.2907333333333308,2139.054373078343,-16.996484383976103,3.2455739918464177,0.99078920327611,168601.7,8.794873399792614,2.9981458055843064,0.39590239606183,0.29946150625586254,0.883,0.3,0.3981932145407096,0.0022908184788796304,0.22743420102068812
2014年第4季度城镇储户问卷调查报告,2014Q4,25.4,64.5,49.2,53.4,38.8,48.4,52.9,50.1,6.6,13.8,64.5,92.94899533666668,84.85575866699219,100.03333333333336,50.4,7.6,12.366666666666667,97.24973333333332,94.33,100.03333333333336,0.0333333333333314,136.95346703976313,0.822572043842699,97.24973333333332,-2.75026666666667,1967.314338009441,-18.996722512626167,0.3981932145407096,0.7889084137779889,184179.4,7.899893786977552,2.625702293471196,0.4854631567109781,0.5264970268274513,0.862,0.3,4.044255062260072,3.558791905549094,0.08956076064914814
2015年第1季度城镇储户问卷调查报告,2015Q1,27.7,59.0,50.8,51.4,40.66,477.8,27.7,48.8,10.2,100.9,59.0,103.13750815,109.3818868001302,100.33333333333331,49.93333333333334,1.8666666666666665,11.633333333333333,95.44063333333334,93.44,100.33333333333331,0.3333333333333333,138.31763587332213,0.5551360018683985,95.44063333333334,-4.559366666666667,1710.2948120920946,-24.667048938902685,4.044255062260072,0.787518290416811,154171.4,7.407025527485844,2.05129733874152,,,-0.009000000000000119,0.3,-1.5888446881790252,,
2015年第2季度城镇储户问卷调查报告,2015Q2,28.4,60.4,48.5,51.5,40.1,47.8,47.4,54.1,8.0,13.4,60.4,75.90869522999999,88.11959584554036,99.86666666666667,50.16666666666666,6.266666666666667,10.9,95.33566666666668,92.54,99.86666666666667,-0.1333333333333352,137.76491860037234,0.9915326684807472,95.33566666666668,-4.664333333333336,1481.9596870971873,-30.87546184853615,-1.5888446881790252,1.499743307063306,171887.0,7.791554623535091,2.214050328264879,0.22578433577253926,0.4969791325125323,0.866,0.3,3.6583493854345006,3.4325650496619615,
2015年第3季度城镇储户问卷调查报告,2015Q3,27.8,63.5,47.3,50.1,38.2,46.3,48.0,50.2,7.3,13.6,63.5,96.75868113,96.01821645100912,100.3,49.833333333333336,5.933333333333334,13.233333333333334,94.25436666666668,93.29666666666668,100.3,0.2999999999999971,139.00797352737723,1.770206357597622,94.25436666666668,-5.745633333333335,1240.896712636085,-39.27130068831107,3.6583493854345006,1.6010404560723446,180118.7,6.830891977957521,3.163073281988845,0.6678329598148721,0.48552583709117897,0.864,0.3,0.796367265091158,0.12853430527628584,0.44204862404233286
2015年第4季度城镇储户问卷调查报告,2015Q4,26.3,63.8,45.3,49.1,38.3,45.3,51.1,50.1,7.2,13.7,63.8,92.65194671666669,130.29488118489584,100.06666666666666,49.7,5.9,13.5,94.09976666666668,93.34333333333332,100.06666666666666,0.0666666666666676,139.28390435482908,1.4990334150190463,94.09976666666668,-5.900233333333337,1033.9540912928649,-45.87085427113912,0.796367265091158,1.7016271040362518,196334.4,6.599543705756461,2.401701834678116,0.4883010537244408,0.522028997812076,0.863,0.3,6.824576992062847,6.336275938338407,-0.1795319060904313
2016年第一季度城镇储户问卷调查报告,2016Q1,25.2,57.3,46.2,48.4,37.6,44.8,52.7,51.6,11.9,14.2,57.3,130.25381536666666,110.56036122639972,100.55495670666666,49.53333333333333,2.2666666666666666,13.566666666666668,95.16566666666664,93.925,100.55495670666666,0.5549567066666677,141.60178490063845,2.205076867980837,95.16566666666664,-4.834333333333338,891.1092535698181,-47.96518608464501,6.824576992062847,2.374353065377788,165735.3,7.500677817027013,6.556030536538245,1.0738361056191237,0.753891811519781,0.858,0.3,-3.0244913024668363,-4.09832740808596,0.5855350518946829
2016年第二季度城镇储户问卷调查报告,2016Q2,25.0,60.6,45.3,48.8,37.0,45.0,53.4,51.6,8.6,14.7,60.6,138.0804840333333,87.90733337402344,99.74449878,50.06666666666666,6.066666666666666,12.133333333333336,97.0729,96.60666666666668,99.74449878,-0.2555012199999993,140.51873915597895,2.175786354590925,97.0729,-2.927099999999996,815.1121469668071,-46.1640962149288,-3.0244913024668363,1.998927291203123,185002.2,7.630129096441274,5.393723687149425,0.24627648346996106,0.6279147188843178,0.853,0.3,3.768229228817632,3.521952745347671,-0.8275596221491626
2016年第三季度城镇储户问卷调查报告,2016Q3,26.7,62.6,46.1,49.8,37.1,46.2,26.7,50.0,7.1,11.4,62.6,125.42993303333331,105.9647216796875,100.3090669,50.23333333333333,6.133333333333333,11.033333333333331,99.2,100.43333333333334,100.3090669,0.3090669000000001,141.82420106202193,1.7877464631434952,99.2,-0.8000000000000019,795.6400437431689,-39.50026620605376,3.768229228817632,2.025946759154817,194837.5,8.171722314229445,2.704821494821837,0.4468025035600416,0.3117417233884283,0.886,0.3,0.9964716385287176,0.549669134968676,0.20052602009008053
2016年第四季度城镇储户问卷调查报告,2016Q4,29.2,67.6,51.9,54.9,40.1,49.4,44.4,46.2,5.9,13.0,67.6,123.49123913333332,90.28233591715497,100.08277056333333,51.43333333333334,6.1000000000000005,11.433333333333332,103.33333333333331,100.86666666666667,100.08277056333333,0.0827705633333314,142.17619793327285,2.214752606657385,103.33333333333331,3.333333333333333,877.5056597232251,-23.487298955765663,0.9964716385287176,2.076545449986522,215617.9,9.821763277347229,3.284487236589214,0.3933822346377967,0.4091870868559124,0.87,0.3,2.053320798016234,1.6599385633784371,-0.053420268922244885
2017年第一季度城镇储户问卷调查报告,2017Q1,29.6,61.5,52.6,52.9,41.8,51.1,29.0,50.9,8.6,11.5,61.5,277.1634031333333,105.34782409667967,100.17124214,51.56666666666666,2.533333333333333,11.0,107.43333333333334,100.88,100.17124214,0.1712421399999991,142.90047798630016,1.4227371750972144,107.43333333333334,7.433333333333333,1088.0745784275705,8.82038467657362,2.053320798016234,0.917144573123152,185274.4,11.789341196474146,-1.8203074292989097,0.31770412522843156,0.3440100116255451,0.885,0.3,-0.7810029137918395,-1.0987070390202711,-0.07567810940936515
2017年第二季度城镇储户问卷调查报告,2017Q2,,61.3,51.3,52.9,41.9,50.7,27.7,52.3,7.9,12.1,61.3,177.5359504666667,116.27630106608072,99.93472719333332,51.366666666666674,6.866666666666667,9.833333333333334,105.8,101.26,99.93472719333332,-0.0652728066666649,142.62064285312513,1.392893500485859,105.8,5.800000000000002,1288.5616769442247,46.16511752334184,-0.7810029137918395,1.4958173619911364,205665.6,11.169272581623346,-1.998952029466772,0.07628866822524327,0.32914863835887603,0.879,0.3,4.326303870367276,4.250015202142033,-0.24141545700318828
