hhid,infl_exp,high_infl_exp,forecast_error_proxy,overreaction,media_salience,low_salience,high_media,risk_attitude,econ_outlook,interest_exp,house_price_exp,log_income,income_tercile,urban,province
201102568,4,1,0,0,1,0,0,5,2,2,3,10.9241563175902,3,1,31
201102569,2,0,-2,0,1,0,0,5,2,2,2,10.1658902778025,2,1,31
201102570,4,1,0,0,2,0,1,5,2,2,3,10.3235456629472,2,1,31
201102571,5,1,1,1,3,1,1,5,3,2,4,10.4370819883548,2,1,31
201102572,5,1,1,1,3,0,1,4,2,2,3,11.5312662399671,3,1,31
201102573,4,1,0,0,1,0,0,5,2,2,3,11.9303478614167,3,1,31
201102574,4,1,0,0,1,0,0,3,2,2,4,10.7390514365162,2,1,31
201102575,4,1,0,0,2,0,1,5,2,3,5,11.8699176398359,3,1,31
201102576,4,1,0,0,3,0,1,3,4,3,4,11.3254024037768,3,1,31
201102577,4,1,0,0,1,1,0,5,1,3,3,10.5306551741621,2,1,31
201102578,5,1,1,1,2,1,1,5,2,1,4,10.3287879671451,2,1,31
201102579,4,1,0,0,2,0,1,3,1,2,3,11.4382126945783,3,1,31
201102580,4,1,0,0,3,1,1,3,2,1,4,11.1173542195368,3,1,31
201102581,2,0,-2,0,2,0,1,1,2,4,2,11.1783596599529,3,1,31
201102582,5,1,1,1,1,0,0,3,3,2,4,12.0078716755615,3,1,31
201102583,4,1,0,0,1,0,0,1,2,2,4,11.8494048444231,3,1,31
201102584,4,1,0,0,2,0,1,2,2,2,3,12.3639349999915,3,1,31
201102585,5,1,1,1,3,2,1,4,1,2,5,11.7445211957661,3,1,31
201102586,5,1,1,1,1,0,0,3,3,2,4,11.7188089140304,3,1,31
201102587,4,1,0,0,1,1,0,2,1,4,4,11.5189174769562,3,1,31
201102588,4,1,0,0,1,0,0,4,2,2,3,11.536895636785,3,1,31
201102589,4,1,0,0,3,0,1,4,2,3,4,10.3089859934221,2,1,31
201102590,4,1,0,0,3,1,1,3,3,4,4,11.8565222615337,3,1,31
201102591,4,1,0,0,1,0,0,3,1,2,5,8.11102783819368,1,1,31
201102592,3,0,-1,0,1,0,0,3,2,2,3,0,1,1,31
201102593,4,1,0,0,1,0,0,5,3,2,3,0,1,1,31
201102594,4,1,0,0,3,2,1,3,4,2,4,11.0358730513112,3,1,31
201102595,5,1,1,1,3,1,1,3,3,2,4,11.3967399026736,3,1,31
